Feature,Importance
amounts_count,0.0
named_entities_count,0.0
word_count,0.0
unique_words,0.0
total_financial_terms,0.0
total_amount,0.0
textblob_subjectivity,0.0
textblob_polarity,0.0
text_length,0.0
sentence_count,0.0
positive_terms_count,0.0
percentages_count,0.0
negative_terms_count,0.0
most_recent_year,0.0
avg_percentage,0.0
max_percentage,0.0
material_event_score,0.0
lexical_diversity,0.0
governance_score,0.0
financial_statement_score,0.0
financial_sentiment,0.0
financial_entities_count,0.0
corporate_action_score,0.0
content_length,0.0
board_changes_score,0.0
avg_sentence_length,0.0
years_count,0.0
