file_path,stock_code,publication_date,target_trading_date,content,content_length,price_change_percentage,price_change_absolute,direction,target_price,previous_price
thyao_notifications\notification_1445888.json,THYAO,2025-06-23T19:39:11,2025-06-24T00:00:00+03:00,"Summary Info
Assessment of Potential Investment in Air Europa
Related Companies
[]
Related Funds
[]
oda_MaterialEventDisclosureGeneralAbstract|
Material Event Disclosure General
oda_UpdateAnnouncementFlag|
  Update Notification Flag
Hayır (No)
oda_CorrectionAnnouncementFlag|
  Correction Notification Flag
Hayır (No)
oda_DateOfThePreviousNotificationAboutTheSameSubject|
  Date Of The Previous Notification About The Same Subject
-
oda_DelayedAnnouncementFlag|
  Postponed Notification Flag
Evet (Yes)
oda_AnnouncementContentSection|
  Announcement Content
oda_ExplanationSection|
  Explanations
oda_ExplanationTextBlock|

There have been media reports stating that Türk Hava Yolları A.O. (""the Company"") is in discussions to acquire shares in Spain-based Air Europa Holding S.L.U. (""Air Europa"").
Our Company continuously evaluates growth opportunities to strengthen its position in the global aviation industry and enhance its competitiveness in the market. In this context, as referenced in the media, non-binding discussions are being held to assess the investment opportunity in Air Europa and to explore potential partnership synergies.
In line with the Board of Directors' resolution dated May 29, 2025, the disclosure of this non-binding offer has been postponed pursuant to Article 6 of the Capital Markets Board's Communiqué on Material Events (II-15.1), taking into account the current stage of the process, the uncertainties involved, and the potential impact on investors' decision-making. This decision aims to protect our Company's legitimate interests and prevent any negative impact on the process. Additionally, the Board has concluded that this postponement does not pose a risk of misleading investors and has implemented the necessary measures to ensure the confidentiality of the information during the postponement period.
Should any new developments arise that could affect investors' decisions, the necessary disclosures will be shared with the public.



We proclaim that our above disclosure is in conformity with the principles set down in “Material Events Communiqué” of Capital Markets Board, and it fully reflects all information coming to our knowledge on the subject matter thereof, and it is in conformity with our books, records and documents, and all reasonable efforts have been shown by our Company in order to obtain all information fully and accurately about the subject matter thereof, and we’re personally liable for the disclosures.",2476,6.324110671936759,16.0,1,269.0,253.0
thyao_notifications\notification_1445891.json,THYAO,2025-06-23T19:39:03,2025-06-24T00:00:00+03:00,"Summary Info
Assessment of Potential Investment in Air Europa
Related Companies
[]
Related Funds
[]
oda_MaterialEventDisclosureGeneralAbstract|
Material Event Disclosure General
oda_UpdateAnnouncementFlag|
  Update Notification Flag
Hayır (No)
oda_CorrectionAnnouncementFlag|
  Correction Notification Flag
Hayır (No)
oda_DateOfThePreviousNotificationAboutTheSameSubject|
  Date Of The Previous Notification About The Same Subject
-
oda_DelayedAnnouncementFlag|
  Postponed Notification Flag
Evet (Yes)
oda_AnnouncementContentSection|
  Announcement Content
oda_ExplanationSection|
  Explanations
oda_ExplanationTextBlock|

There have been media reports stating that Türk Hava Yolları A.O. (""the Company"") is in discussions to acquire shares in Spain-based Air Europa Holding S.L.U. (""Air Europa"").
Our Company continuously evaluates growth opportunities to strengthen its position in the global aviation industry and enhance its competitiveness in the market. In this context, as referenced in the media, non-binding discussions are being held to assess the investment opportunity in Air Europa and to explore potential partnership synergies.
In line with the Board of Directors' resolution dated May 29, 2025, the disclosure of this non-binding offer has been postponed pursuant to Article 6 of the Capital Markets Board's Communiqué on Material Events (II-15.1), taking into account the current stage of the process, the uncertainties involved, and the potential impact on investors' decision-making. This decision aims to protect our Company's legitimate interests and prevent any negative impact on the process. Additionally, the Board has concluded that this postponement does not pose a risk of misleading investors and has implemented the necessary measures to ensure the confidentiality of the information during the postponement period.
Should any new developments arise that could affect investors' decisions, the necessary disclosures will be shared with the public.



We proclaim that our above disclosure is in conformity with the principles set down in “Material Events Communiqué” of Capital Markets Board, and it fully reflects all information coming to our knowledge on the subject matter thereof, and it is in conformity with our books, records and documents, and all reasonable efforts have been shown by our Company in order to obtain all information fully and accurately about the subject matter thereof, and we’re personally liable for the disclosures.",2476,6.324110671936759,16.0,1,269.0,253.0
thyao_notifications\notification_1445942.json,THYAO,2025-06-23T19:38:55,2025-06-24T00:00:00+03:00,"Summary Info
Assessment of Potential Investment in Air Europa
Related Companies
[]
Related Funds
[]
oda_MaterialEventDisclosureGeneralAbstract|
Material Event Disclosure General
oda_UpdateAnnouncementFlag|
  Update Notification Flag
Hayır (No)
oda_CorrectionAnnouncementFlag|
  Correction Notification Flag
Hayır (No)
oda_DateOfThePreviousNotificationAboutTheSameSubject|
  Date Of The Previous Notification About The Same Subject
-
oda_DelayedAnnouncementFlag|
  Postponed Notification Flag
Evet (Yes)
oda_AnnouncementContentSection|
  Announcement Content
oda_ExplanationSection|
  Explanations
oda_ExplanationTextBlock|

There have been media reports stating that Türk Hava Yolları A.O. (""the Company"") is in discussions to acquire shares in Spain-based Air Europa Holding S.L.U. (""Air Europa"").
Our Company continuously evaluates growth opportunities to strengthen its position in the global aviation industry and enhance its competitiveness in the market. In this context, as referenced in the media, non-binding discussions are being held to assess the investment opportunity in Air Europa and to explore potential partnership synergies.
In line with the Board of Directors' resolution dated May 29, 2025, the disclosure of this non-binding offer has been postponed pursuant to Article 6 of the Capital Markets Board's Communiqué on Material Events (II-15.1), taking into account the current stage of the process, the uncertainties involved, and the potential impact on investors' decision-making. This decision aims to protect our Company's legitimate interests and prevent any negative impact on the process. Additionally, the Board has concluded that this postponement does not pose a risk of misleading investors and has implemented the necessary measures to ensure the confidentiality of the information during the postponement period.
Should any new developments arise that could affect investors' decisions, the necessary disclosures will be shared with the public.



We proclaim that our above disclosure is in conformity with the principles set down in “Material Events Communiqué” of Capital Markets Board, and it fully reflects all information coming to our knowledge on the subject matter thereof, and it is in conformity with our books, records and documents, and all reasonable efforts have been shown by our Company in order to obtain all information fully and accurately about the subject matter thereof, and we’re personally liable for the disclosures.",2476,6.324110671936759,16.0,1,269.0,253.0
thyao_notifications\notification_1446919.json,THYAO,2025-06-23T19:38:46,2025-06-24T00:00:00+03:00,"Summary Info
Assessment of Potential Investment in Air Europa
Related Companies
[]
Related Funds
[]
oda_MaterialEventDisclosureGeneralAbstract|
Material Event Disclosure General
oda_UpdateAnnouncementFlag|
  Update Notification Flag
Hayır (No)
oda_CorrectionAnnouncementFlag|
  Correction Notification Flag
Hayır (No)
oda_DateOfThePreviousNotificationAboutTheSameSubject|
  Date Of The Previous Notification About The Same Subject
-
oda_DelayedAnnouncementFlag|
  Postponed Notification Flag
Evet (Yes)
oda_AnnouncementContentSection|
  Announcement Content
oda_ExplanationSection|
  Explanations
oda_ExplanationTextBlock|

There have been media reports stating that Türk Hava Yolları A.O. (""the Company"") is in discussions to acquire shares in Spain-based Air Europa Holding S.L.U. (""Air Europa"").
Our Company continuously evaluates growth opportunities to strengthen its position in the global aviation industry and enhance its competitiveness in the market. In this context, as referenced in the media, non-binding discussions are being held to assess the investment opportunity in Air Europa and to explore potential partnership synergies.
In line with the Board of Directors' resolution dated May 29, 2025, the disclosure of this non-binding offer has been postponed pursuant to Article 6 of the Capital Markets Board's Communiqué on Material Events (II-15.1), taking into account the current stage of the process, the uncertainties involved, and the potential impact on investors' decision-making. This decision aims to protect our Company's legitimate interests and prevent any negative impact on the process. Additionally, the Board has concluded that this postponement does not pose a risk of misleading investors and has implemented the necessary measures to ensure the confidentiality of the information during the postponement period.
Should any new developments arise that could affect investors' decisions, the necessary disclosures will be shared with the public.



We proclaim that our above disclosure is in conformity with the principles set down in “Material Events Communiqué” of Capital Markets Board, and it fully reflects all information coming to our knowledge on the subject matter thereof, and it is in conformity with our books, records and documents, and all reasonable efforts have been shown by our Company in order to obtain all information fully and accurately about the subject matter thereof, and we’re personally liable for the disclosures.",2476,6.324110671936759,16.0,1,269.0,253.0
thyao_notifications\notification_1446920.json,THYAO,2025-06-23T19:38:38,2025-06-24T00:00:00+03:00,"Summary Info
Assessment of Potential Investment in Air Europa
Related Companies
[]
Related Funds
[]
oda_MaterialEventDisclosureGeneralAbstract|
Material Event Disclosure General
oda_UpdateAnnouncementFlag|
  Update Notification Flag
Hayır (No)
oda_CorrectionAnnouncementFlag|
  Correction Notification Flag
Hayır (No)
oda_DateOfThePreviousNotificationAboutTheSameSubject|
  Date Of The Previous Notification About The Same Subject
-
oda_DelayedAnnouncementFlag|
  Postponed Notification Flag
Evet (Yes)
oda_AnnouncementContentSection|
  Announcement Content
oda_ExplanationSection|
  Explanations
oda_ExplanationTextBlock|

There have been media reports stating that Türk Hava Yolları A.O. (""the Company"") is in discussions to acquire shares in Spain-based Air Europa Holding S.L.U. (""Air Europa"").
Our Company continuously evaluates growth opportunities to strengthen its position in the global aviation industry and enhance its competitiveness in the market. In this context, as referenced in the media, non-binding discussions are being held to assess the investment opportunity in Air Europa and to explore potential partnership synergies.
In line with the Board of Directors' resolution dated May 29, 2025, the disclosure of this non-binding offer has been postponed pursuant to Article 6 of the Capital Markets Board's Communiqué on Material Events (II-15.1), taking into account the current stage of the process, the uncertainties involved, and the potential impact on investors' decision-making. This decision aims to protect our Company's legitimate interests and prevent any negative impact on the process. Additionally, the Board has concluded that this postponement does not pose a risk of misleading investors and has implemented the necessary measures to ensure the confidentiality of the information during the postponement period.
Should any new developments arise that could affect investors' decisions, the necessary disclosures will be shared with the public.



We proclaim that our above disclosure is in conformity with the principles set down in “Material Events Communiqué” of Capital Markets Board, and it fully reflects all information coming to our knowledge on the subject matter thereof, and it is in conformity with our books, records and documents, and all reasonable efforts have been shown by our Company in order to obtain all information fully and accurately about the subject matter thereof, and we’re personally liable for the disclosures.",2476,6.225296442687747,15.75,1,268.75,253.0
thyao_notifications\notification_1447442.json,THYAO,2025-06-23T19:38:30,2025-06-24T00:00:00+03:00,"Summary Info
Assessment of Potential Investment in Air Europa
Related Companies
[]
Related Funds
[]
oda_MaterialEventDisclosureGeneralAbstract|
Material Event Disclosure General
oda_UpdateAnnouncementFlag|
  Update Notification Flag
Hayır (No)
oda_CorrectionAnnouncementFlag|
  Correction Notification Flag
Hayır (No)
oda_DateOfThePreviousNotificationAboutTheSameSubject|
  Date Of The Previous Notification About The Same Subject
-
oda_DelayedAnnouncementFlag|
  Postponed Notification Flag
Evet (Yes)
oda_AnnouncementContentSection|
  Announcement Content
oda_ExplanationSection|
  Explanations
oda_ExplanationTextBlock|

There have been media reports stating that Türk Hava Yolları A.O. (""the Company"") is in discussions to acquire shares in Spain-based Air Europa Holding S.L.U. (""Air Europa"").
Our Company continuously evaluates growth opportunities to strengthen its position in the global aviation industry and enhance its competitiveness in the market. In this context, as referenced in the media, non-binding discussions are being held to assess the investment opportunity in Air Europa and to explore potential partnership synergies.
In line with the Board of Directors' resolution dated May 29, 2025, the disclosure of this non-binding offer has been postponed pursuant to Article 6 of the Capital Markets Board's Communiqué on Material Events (II-15.1), taking into account the current stage of the process, the uncertainties involved, and the potential impact on investors' decision-making. This decision aims to protect our Company's legitimate interests and prevent any negative impact on the process. Additionally, the Board has concluded that this postponement does not pose a risk of misleading investors and has implemented the necessary measures to ensure the confidentiality of the information during the postponement period.
Should any new developments arise that could affect investors' decisions, the necessary disclosures will be shared with the public.



We proclaim that our above disclosure is in conformity with the principles set down in “Material Events Communiqué” of Capital Markets Board, and it fully reflects all information coming to our knowledge on the subject matter thereof, and it is in conformity with our books, records and documents, and all reasonable efforts have been shown by our Company in order to obtain all information fully and accurately about the subject matter thereof, and we’re personally liable for the disclosures.",2476,6.225296442687747,15.75,1,268.75,253.0
thyao_notifications\notification_1448770.json,THYAO,2025-06-23T19:38:22,2025-06-24T00:00:00+03:00,"Summary Info
Assessment of Potential Investment in Air Europa
Related Companies
[]
Related Funds
[]
oda_MaterialEventDisclosureGeneralAbstract|
Material Event Disclosure General
oda_UpdateAnnouncementFlag|
  Update Notification Flag
Hayır (No)
oda_CorrectionAnnouncementFlag|
  Correction Notification Flag
Hayır (No)
oda_DateOfThePreviousNotificationAboutTheSameSubject|
  Date Of The Previous Notification About The Same Subject
-
oda_DelayedAnnouncementFlag|
  Postponed Notification Flag
Evet (Yes)
oda_AnnouncementContentSection|
  Announcement Content
oda_ExplanationSection|
  Explanations
oda_ExplanationTextBlock|

There have been media reports stating that Türk Hava Yolları A.O. (""the Company"") is in discussions to acquire shares in Spain-based Air Europa Holding S.L.U. (""Air Europa"").
Our Company continuously evaluates growth opportunities to strengthen its position in the global aviation industry and enhance its competitiveness in the market. In this context, as referenced in the media, non-binding discussions are being held to assess the investment opportunity in Air Europa and to explore potential partnership synergies.
In line with the Board of Directors' resolution dated May 29, 2025, the disclosure of this non-binding offer has been postponed pursuant to Article 6 of the Capital Markets Board's Communiqué on Material Events (II-15.1), taking into account the current stage of the process, the uncertainties involved, and the potential impact on investors' decision-making. This decision aims to protect our Company's legitimate interests and prevent any negative impact on the process. Additionally, the Board has concluded that this postponement does not pose a risk of misleading investors and has implemented the necessary measures to ensure the confidentiality of the information during the postponement period.
Should any new developments arise that could affect investors' decisions, the necessary disclosures will be shared with the public.



We proclaim that our above disclosure is in conformity with the principles set down in “Material Events Communiqué” of Capital Markets Board, and it fully reflects all information coming to our knowledge on the subject matter thereof, and it is in conformity with our books, records and documents, and all reasonable efforts have been shown by our Company in order to obtain all information fully and accurately about the subject matter thereof, and we’re personally liable for the disclosures.",2476,6.225296442687747,15.75,1,268.75,253.0
thyao_notifications\notification_1448874.json,THYAO,2025-06-23T19:38:13,2025-06-24T00:00:00+03:00,"Summary Info
Assessment of Potential Investment in Air Europa
Related Companies
[]
Related Funds
[]
oda_MaterialEventDisclosureGeneralAbstract|
Material Event Disclosure General
oda_UpdateAnnouncementFlag|
  Update Notification Flag
Hayır (No)
oda_CorrectionAnnouncementFlag|
  Correction Notification Flag
Hayır (No)
oda_DateOfThePreviousNotificationAboutTheSameSubject|
  Date Of The Previous Notification About The Same Subject
-
oda_DelayedAnnouncementFlag|
  Postponed Notification Flag
Evet (Yes)
oda_AnnouncementContentSection|
  Announcement Content
oda_ExplanationSection|
  Explanations
oda_ExplanationTextBlock|

There have been media reports stating that Türk Hava Yolları A.O. (""the Company"") is in discussions to acquire shares in Spain-based Air Europa Holding S.L.U. (""Air Europa"").
Our Company continuously evaluates growth opportunities to strengthen its position in the global aviation industry and enhance its competitiveness in the market. In this context, as referenced in the media, non-binding discussions are being held to assess the investment opportunity in Air Europa and to explore potential partnership synergies.
In line with the Board of Directors' resolution dated May 29, 2025, the disclosure of this non-binding offer has been postponed pursuant to Article 6 of the Capital Markets Board's Communiqué on Material Events (II-15.1), taking into account the current stage of the process, the uncertainties involved, and the potential impact on investors' decision-making. This decision aims to protect our Company's legitimate interests and prevent any negative impact on the process. Additionally, the Board has concluded that this postponement does not pose a risk of misleading investors and has implemented the necessary measures to ensure the confidentiality of the information during the postponement period.
Should any new developments arise that could affect investors' decisions, the necessary disclosures will be shared with the public.



We proclaim that our above disclosure is in conformity with the principles set down in “Material Events Communiqué” of Capital Markets Board, and it fully reflects all information coming to our knowledge on the subject matter thereof, and it is in conformity with our books, records and documents, and all reasonable efforts have been shown by our Company in order to obtain all information fully and accurately about the subject matter thereof, and we’re personally liable for the disclosures.",2476,6.225296442687747,15.75,1,268.75,253.0
thyao_notifications\notification_1449819.json,THYAO,2025-06-23T19:38:05,2025-06-24T00:00:00+03:00,"Summary Info
Assessment of Potential Investment in Air Europa
Related Companies
[]
Related Funds
[]
oda_MaterialEventDisclosureGeneralAbstract|
Material Event Disclosure General
oda_UpdateAnnouncementFlag|
  Update Notification Flag
Hayır (No)
oda_CorrectionAnnouncementFlag|
  Correction Notification Flag
Hayır (No)
oda_DateOfThePreviousNotificationAboutTheSameSubject|
  Date Of The Previous Notification About The Same Subject
-
oda_DelayedAnnouncementFlag|
  Postponed Notification Flag
Evet (Yes)
oda_AnnouncementContentSection|
  Announcement Content
oda_ExplanationSection|
  Explanations
oda_ExplanationTextBlock|

There have been media reports stating that Türk Hava Yolları A.O. (""the Company"") is in discussions to acquire shares in Spain-based Air Europa Holding S.L.U. (""Air Europa"").
Our Company continuously evaluates growth opportunities to strengthen its position in the global aviation industry and enhance its competitiveness in the market. In this context, as referenced in the media, non-binding discussions are being held to assess the investment opportunity in Air Europa and to explore potential partnership synergies.
In line with the Board of Directors' resolution dated May 29, 2025, the disclosure of this non-binding offer has been postponed pursuant to Article 6 of the Capital Markets Board's Communiqué on Material Events (II-15.1), taking into account the current stage of the process, the uncertainties involved, and the potential impact on investors' decision-making. This decision aims to protect our Company's legitimate interests and prevent any negative impact on the process. Additionally, the Board has concluded that this postponement does not pose a risk of misleading investors and has implemented the necessary measures to ensure the confidentiality of the information during the postponement period.
Should any new developments arise that could affect investors' decisions, the necessary disclosures will be shared with the public.



We proclaim that our above disclosure is in conformity with the principles set down in “Material Events Communiqué” of Capital Markets Board, and it fully reflects all information coming to our knowledge on the subject matter thereof, and it is in conformity with our books, records and documents, and all reasonable efforts have been shown by our Company in order to obtain all information fully and accurately about the subject matter thereof, and we’re personally liable for the disclosures.",2476,6.225296442687747,15.75,1,268.75,253.0
thyao_notifications\notification_1450725.json,THYAO,2025-06-23T19:37:57,2025-06-24T00:00:00+03:00,"Summary Info
Assessment of Potential Investment in Air Europa
Related Companies
[]
Related Funds
[]
oda_MaterialEventDisclosureGeneralAbstract|
Material Event Disclosure General
oda_UpdateAnnouncementFlag|
  Update Notification Flag
Hayır (No)
oda_CorrectionAnnouncementFlag|
  Correction Notification Flag
Hayır (No)
oda_DateOfThePreviousNotificationAboutTheSameSubject|
  Date Of The Previous Notification About The Same Subject
-
oda_DelayedAnnouncementFlag|
  Postponed Notification Flag
Evet (Yes)
oda_AnnouncementContentSection|
  Announcement Content
oda_ExplanationSection|
  Explanations
oda_ExplanationTextBlock|

There have been media reports stating that Türk Hava Yolları A.O. (""the Company"") is in discussions to acquire shares in Spain-based Air Europa Holding S.L.U. (""Air Europa"").
Our Company continuously evaluates growth opportunities to strengthen its position in the global aviation industry and enhance its competitiveness in the market. In this context, as referenced in the media, non-binding discussions are being held to assess the investment opportunity in Air Europa and to explore potential partnership synergies.
In line with the Board of Directors' resolution dated May 29, 2025, the disclosure of this non-binding offer has been postponed pursuant to Article 6 of the Capital Markets Board's Communiqué on Material Events (II-15.1), taking into account the current stage of the process, the uncertainties involved, and the potential impact on investors' decision-making. This decision aims to protect our Company's legitimate interests and prevent any negative impact on the process. Additionally, the Board has concluded that this postponement does not pose a risk of misleading investors and has implemented the necessary measures to ensure the confidentiality of the information during the postponement period.
Should any new developments arise that could affect investors' decisions, the necessary disclosures will be shared with the public.



We proclaim that our above disclosure is in conformity with the principles set down in “Material Events Communiqué” of Capital Markets Board, and it fully reflects all information coming to our knowledge on the subject matter thereof, and it is in conformity with our books, records and documents, and all reasonable efforts have been shown by our Company in order to obtain all information fully and accurately about the subject matter thereof, and we’re personally liable for the disclosures.",2476,6.324110671936759,16.0,1,269.0,253.0
